Temp,Division
,Mymensing
30.1,Mymensing
28.5,Mymensing
29.5,Mymensing
32.6,Mymensing
30.1,Mymensing
29.9,Mymensing
30.2,Sylhet
29.8,Sylhet
27.9,Sylhet
28.4,Sylhet
23.01,Sylhet
,Sylhet
,Sylhet
29.8,Sylhet
,Sylhet
29.8,Rajshahi
31.4,Rajshahi
31.4,Rajshahi
31.6,Rajshahi
29.5,Rajshahi
,Rajshahi
,Rajshahi
,Rajshahi
29.6,Rajshahi
29.5,Rangpur
30.8,Rangpur
25.6,Rangpur
28.9,Rangpur
22.9,Rangpur
,Rangpur
,Rangpur
,Rangpur
31.2,Rangpur
22.1,Rangpur
24.8,Rangpur
23.6,Rangpur
28.7,Rangpur
28.8,Rangpur
,Rangpur
,Rangpur
,Rangpur
,Rangpur
29.6,Dhaka
30.4,Dhaka
29.4,Dhaka
30.4,Dhaka
30.4,Dhaka
"28,3",Dhaka
30.6,Dhaka
30.6,Dhaka
30.7,Dhaka
29.5,Dhaka
26.6,Dhaka
28.4,Dhaka
24.9,Dhaka
29.3,Dhaka
29.1,Dhaka
30.5,Dhaka
24.9,Dhaka
31.8,Dhaka
26.7,Barisal
31.1,Barisal
27.5,Barisal
28.5,Barisal
28.4,Barisal
29.7,Barisal
,Barisal
,Barisal
,Barisal
22.9,Chittagong
22.9,Chittagong
25.1,Chittagong
27.5,Chittagong
28.5,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
28.2,Khulna
29.5,Khulna
27.9,Khulna
30.2,Khulna
30.5,Khulna
,Khulna
,Khulna
,Khulna
,Khulna
26.9,Chittagong
30.4,Chittagong
29.9,Chittagong
32.1,Chittagong
29.5,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
29.9,Chittagong
30.3,Chittagong
29.4,Chittagong
28.5,Chittagong
30.4,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
29.4,Dhaka
29.6,Dhaka
27.4,Dhaka
29.1,Dhaka
29.5,Dhaka
,Dhaka
,Dhaka
,Dhaka
,Dhaka
29,Chittagong
32,Chittagong
26,Chittagong
26.4,Chittagong
28.6,Chittagong
29.9,Chittagong
30.9,Chittagong
27.3,Chittagong
30.2,Chittagong
28,Chittagong
26.5,Chittagong
30.5,Chittagong
,Chittagong
27.5,Chittagong
29.9,Chittagong
,Chittagong
,Chittagong
30.5,Chittagong
,Chittagong
,Chittagong
26.41,Chittagong
28.1,Chittagong
,Chittagong
,Chittagong
29.5,Chittagong
,Chittagong
25.9,Chittagong
,Chittagong
,Chittagong
27.9,Chittagong
27.9,Chittagong
29.4,Chittagong
,Chittagong
27.9,Chittagong
29.3,Chittagong
29.8,Chittagong
29.9,Chittagong
28.3,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
28.2,Sylhet
27.4,Sylhet
,Sylhet
27.6,Sylhet
26.5,Sylhet
,Sylhet
,Sylhet
,Sylhet
,Sylhet
