pH,Division
6.9,Mymensing
6.8,Mymensing
6.9,Mymensing
7.8,Mymensing
6.8,Mymensing
7.5,Mymensing
7.2,Mymensing
6.7,Sylhet
6.8,Sylhet
6.9,Sylhet
8.2,Sylhet
6.5,Sylhet
,Sylhet
,Sylhet
6.7,Sylhet
,Sylhet
6.8,Rajshahi
6.7,Rajshahi
6.6,Rajshahi
7.5,Rajshahi
7.6,Rajshahi
,Rajshahi
,Rajshahi
,Rajshahi
7.3,Rajshahi
7.1,Rangpur
6.8,Rangpur
6.4,Rangpur
7.1,Rangpur
7.2,Rangpur
,Rangpur
,Rangpur
,Rangpur
7.4,Rangpur
7.2,Rangpur
6.8,Rangpur
6.3,Rangpur
6.5,Rangpur
7.8,Rangpur
6.4,Rangpur
,Rangpur
,Rangpur
,Rangpur
7.5,Dhaka
7.4,Dhaka
7.3,Dhaka
8.7,Dhaka
8.5,Dhaka
8.3,Dhaka
8.2,Dhaka
8.5,Dhaka
8.1,Dhaka
7.7,Dhaka
7.5,Dhaka
6.9,Dhaka
6.6,Dhaka
7.2,Dhaka
6.9,Dhaka
6.9,Dhaka
6.8,Dhaka
6.9,Dhaka
7.3,Barisal
6.9,Barisal
6.4,Barisal
6.6,Barisal
6.8,Barisal
6.7,Barisal
,Barisal
,Barisal
,Barisal
6.8,Chittagong
6.3,Chittagong
6.4,Chittagong
6.7,Chittagong
6.9,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
7.2,Khulna
7.1,Khulna
7.5,Khulna
6.8,Khulna
6.9,Khulna
,Khulna
,Khulna
,Khulna
,Khulna
6.8,Chittagong
6.7,Chittagong
7.1,Chittagong
6.9,Chittagong
7,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
6.8,Chittagong
6.7,Chittagong
7.3,Chittagong
6.5,Chittagong
7.3,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
7.3,Dhaka
7.2,Dhaka
7.5,Dhaka
6.9,Dhaka
6.6,Dhaka
,Dhaka
,Dhaka
,Dhaka
,Dhaka
7.9,Chittagong
7.8,Chittagong
7.5,Chittagong
7.8,Chittagong
7.7,Chittagong
7.8,Chittagong
7.2,Chittagong
8,Chittagong
8.3,Chittagong
8.4,Chittagong
7.5,Chittagong
12.5,Chittagong
,Chittagong
6.6,Chittagong
6.8,Chittagong
6.9,Chittagong
6.4,Chittagong
6.8,Chittagong
6.6,Chittagong
6.8,Chittagong
6.9,Chittagong
6.5,Chittagong
6.4,Chittagong
6.9,Chittagong
6.8,Chittagong
6.7,Chittagong
6.6,Chittagong
6.8,Chittagong
6.7,Chittagong
6.6,Chittagong
6.8,Chittagong
6.9,Chittagong
6.7,Chittagong
7.1,Chittagong
6.9,Chittagong
6.8,Chittagong
6.6,Chittagong
7.3,Chittagong
,Chittagong
,Chittagong
,Chittagong
,Chittagong
6.6,Sylhet
6.4,Sylhet
6.9,Sylhet
6.8,Sylhet
7.4,Sylhet
,Sylhet
,Sylhet
,Sylhet
,Sylhet
